Order_ID,Date,Financial_Year,Quarter,Month,Region,Department,Product,Customer_Segment,Salesperson,Units_Sold,Sales_Revenue,COGS,Gross_Profit,Operating_Expenses,Net_Profit,Budget_Sales,Sales_Variance,Profit_Margin_Percent,Growth_Percent,Currency
ORD-103502,03-01-2023,FY2023,Q1,January,South,Technology,Smartphone,Consumer,Rahul,3,25230.09,18612.96,6617.13,5450.94,1166.2,25236.05,-5.95,4.62,18,INR
ORD-104910,03-01-2023,FY2023,Q1,January,North,Office Supplies,Paper Pack,Consumer,Priya,20,180799.8,135949.44,44850.36,22636.99,22213.37,173705.71,7094.09,12.29,5.9,INR
ORD-101138,03-01-2023,FY2023,Q1,January,East,Consumer Goods,Calculator,Small Business,Amit,1,5941.76,3410.4,2531.37,870.01,1661.36,5449.08,492.68,27.96,3.12,INR
ORD-100723,04-01-2023,FY2023,Q1,January,South,Healthcare,Medical Kit,Consumer,Amit,3,48402.2,29355.92,19046.29,4399.47,14646.82,51733.56,-3331.36,30.26,-0.19,INR
ORD-100990,04-01-2023,FY2023,Q1,January,South,Consumer Goods,Backpack,Corporate,Anjali,13,313683.75,182527.39,131156.36,37451.58,93704.78,301177.27,12506.48,29.87,-2.78,INR
ORD-104312,04-01-2023,FY2023,Q1,January,South,Healthcare,Gloves,Small Business,Vikas,12,227451.32,161045.38,66405.95,21295.65,45110.29,233258.72,-5807.39,19.83,23.78,INR
ORD-100308,05-01-2023,FY2023,Q1,January,North,Office Supplies,Paper Pack,Consumer,Priya,8,217700.5,159403.32,58297.17,20504.84,37792.33,217615.63,84.87,17.36,5.26,INR
ORD-102912,05-01-2023,FY2023,Q1,January,South,Healthcare,Thermometer,Corporate,Vikas,5,125755.06,77903.93,47851.13,16970.85,30880.29,120484.95,5270.11,24.56,4.73,INR
ORD-100773,05-01-2023,FY2023,Q1,January,East,Office Supplies,Notebook,Small Business,Priya,3,79772.65,41945.08,37827.57,8176.29,29651.28,77486.8,2285.85,37.17,5.76,INR
ORD-104011,05-01-2023,FY2023,Q1,January,East,Healthcare,BP Monitor,Small Business,Amit,9,305799.14,231098.33,74700.8,62787.08,11913.73,305399.9,399.24,3.9,-7.21,INR
ORD-104141,06-01-2023,FY2023,Q1,January,Central,Consumer Goods,Water Bottle,Consumer,Sneha,5,191281.71,99685.82,91595.89,18051.84,73544.05,180448.64,10833.07,38.45,11.06,INR
ORD-104067,06-01-2023,FY2023,Q1,January,South,Furniture,Cabinet,Small Business,Rahul,18,638217.38,470569.81,167647.57,134031.93,33615.64,683714.86,-45497.47,5.27,20.5,INR
ORD-103830,06-01-2023,FY2023,Q1,January,East,Furniture,Conference Table,Consumer,Neha,4,78879.49,49684.31,29195.18,6529.4,22665.78,81996.52,-3117.04,28.73,-7.09,INR
ORD-100720,06-01-2023,FY2023,Q1,January,Central,Healthcare,Medical Kit,Small Business,Anjali,17,672304.36,415559.53,256744.83,137825.17,118919.66,744991.78,-72687.42,17.69,-2.97,INR
ORD-102546,07-01-2023,FY2023,Q1,January,West,Technology,Laptop,Small Business,Neha,14,698001.02,502956.04,195044.98,68571.31,126473.66,742796.91,-44795.88,18.12,-2.48,INR
ORD-101225,07-01-2023,FY2023,Q1,January,South,Consumer Goods,Travel Bag,Consumer,Amit,13,77807.27,53057.87,24749.39,16450.83,8298.56,86018.99,-8211.73,10.67,7.22,INR
ORD-101389,07-01-2023,FY2023,Q1,January,Central,Consumer Goods,Backpack,Corporate,Rohit,14,123271.34,68732.81,54538.53,17022.67,37515.86,137290.12,-14018.78,30.43,14.06,INR
ORD-104492,07-01-2023,FY2023,Q1,January,Central,Healthcare,BP Monitor,Corporate,Neha,12,418721.75,298282.32,120439.42,79902.07,40537.35,464952.54,-46230.79,9.68,4.65,INR
ORD-100955,07-01-2023,FY2023,Q1,January,Central,Furniture,Desk,Consumer,Neha,12,177007.12,98346.56,78660.56,31435.91,47224.64,194611.47,-17604.36,26.68,2.98,INR
ORD-104435,08-01-2023,FY2023,Q1,January,East,Healthcare,BP Monitor,Corporate,Anjali,8,34204.5,20717.06,13487.44,6013.08,7474.36,34510.7,-306.2,21.85,0.57,INR
ORD-102960,08-01-2023,FY2023,Q1,January,East,Technology,Printer,Corporate,Sneha,14,477440.09,278965.64,198474.46,41908,156566.46,468301.37,9138.72,32.79,-7.04,INR
ORD-104047,08-01-2023,FY2023,Q1,January,North,Office Supplies,Notebook,Consumer,Vikas,16,88069.96,68088.24,19981.71,11598.95,8382.77,94139.39,-6069.43,9.52,11.24,INR
ORD-100656,08-01-2023,FY2023,Q1,January,East,Consumer Goods,Backpack,Corporate,Anjali,10,447434.48,324905.49,122528.99,75113.56,47415.43,404191.81,43242.67,10.6,6.41,INR
ORD-102240,08-01-2023,FY2023,Q1,January,East,Consumer Goods,Water Bottle,Consumer,Amit,2,82865.12,55873.64,26991.48,16766.53,10224.95,91327.14,-8462.02,12.34,16.74,INR
ORD-104634,09-01-2023,FY2023,Q1,January,South,Office Supplies,File Folder,Corporate,Neha,15,609699.38,353247.7,256451.69,88738.8,167712.89,665269.26,-55569.88,27.51,20.6,INR
ORD-100195,09-01-2023,FY2023,Q1,January,North,Consumer Goods,Calculator,Consumer,Vikas,6,58162.13,30821.74,27340.38,11881.62,15458.76,57429.92,732.21,26.58,3.43,INR
ORD-101381,09-01-2023,FY2023,Q1,January,East,Healthcare,Gloves,Corporate,Neha,4,76194.9,45382.09,30812.81,8588.93,22223.88,84155.34,-7960.44,29.17,-4.19,INR
ORD-103095,10-01-2023,FY2023,Q1,January,East,Office Supplies,Stapler,Consumer,Rohit,19,30062.67,16546.57,13516.1,5984.54,7531.56,29121.79,940.88,25.05,-0.54,INR
ORD-100752,10-01-2023,FY2023,Q1,January,East,Technology,Printer,Small Business,Priya,14,525265.05,289763.71,235501.34,48885.49,186615.85,556660.22,-31395.16,35.53,-7.86,INR
ORD-100528,10-01-2023,FY2023,Q1,January,West,Consumer Goods,Travel Bag,Small Business,Neha,13,161146.53,86518.48,74628.05,17784.96,56843.09,147964.48,13182.06,35.27,13.27,INR
ORD-102984,10-01-2023,FY2023,Q1,January,West,Technology,Monitor,Consumer,Neha,9,151978.57,110881.11,41097.45,32112.73,8984.73,169887.16,-17908.59,5.91,-2.11,INR
ORD-101645,10-01-2023,FY2023,Q1,January,Central,Furniture,Office Chair,Small Business,Amit,12,126403.15,82624.95,43778.2,20875.71,22902.49,115600.75,10802.4,18.12,8.36,INR
ORD-101027,11-01-2023,FY2023,Q1,January,West,Technology,Tablet,Consumer,Amit,14,71188.99,47634.7,23554.29,7889.77,15664.52,65181.06,6007.93,22,14.82,INR
ORD-100830,11-01-2023,FY2023,Q1,January,South,Technology,Smartphone,Corporate,Sneha,8,328252.48,249715.29,78537.19,65125.34,13411.85,310856.03,17396.45,4.09,17.27,INR
ORD-103762,11-01-2023,FY2023,Q1,January,West,Healthcare,BP Monitor,Corporate,Rohit,6,58878.97,30662.49,28216.49,5080.47,23136.01,64336.79,-5457.82,39.29,14.52,INR
ORD-101348,11-01-2023,FY2023,Q1,January,Central,Technology,Tablet,Consumer,Amit,12,591495.64,460068.65,131426.99,77135.38,54291.61,649057.08,-57561.43,9.18,3.99,INR
ORD-101155,11-01-2023,FY2023,Q1,January,West,Office Supplies,Notebook,Consumer,Neha,14,322428.13,219210.22,103217.91,43734.75,59483.16,357428.31,-35000.17,18.45,3.89,INR
ORD-102859,12-01-2023,FY2023,Q1,January,Central,Technology,Smartphone,Consumer,Vikas,6,53063.84,34826.25,18237.59,4249.93,13987.66,55395.95,-2332.11,26.36,13.8,INR
ORD-104350,12-01-2023,FY2023,Q1,January,Central,Office Supplies,Paper Pack,Consumer,Sneha,20,220685.09,135164.27,85520.83,26257.46,59263.37,200467.73,20217.36,26.85,21.72,INR
ORD-104646,12-01-2023,FY2023,Q1,January,East,Technology,Printer,Consumer,Sneha,13,269621.9,187789.39,81832.5,30424.69,51407.82,285664.78,-16042.88,19.07,20.11,INR
ORD-101066,12-01-2023,FY2023,Q1,January,North,Technology,Smartphone,Consumer,Priya,1,19236.89,10945.46,8291.43,1555.04,6736.39,19002.43,234.46,35.02,12.3,INR
ORD-104325,12-01-2023,FY2023,Q1,January,East,Healthcare,Medical Kit,Small Business,Rahul,11,460482.15,356481.3,104000.85,40127.2,63873.65,512192.96,-51710.81,13.87,23.47,INR
ORD-101767,12-01-2023,FY2023,Q1,January,North,Healthcare,Medical Kit,Consumer,Vikas,10,450053.21,337687.13,112366.08,86775.56,25590.52,423427.16,26626.06,5.69,17.64,INR
ORD-100381,12-01-2023,FY2023,Q1,January,South,Office Supplies,Stapler,Small Business,Rahul,14,63628.33,33954.17,29674.15,13572.49,16101.67,68770.8,-5142.47,25.31,0.57,INR
ORD-101590,12-01-2023,FY2023,Q1,January,Central,Technology,Laptop,Consumer,Priya,8,66916.09,49834.48,17081.61,8627.8,8453.81,70986.23,-4070.14,12.63,1.94,INR
ORD-104226,12-01-2023,FY2023,Q1,January,Central,Furniture,Desk,Corporate,Neha,3,55081.56,28822.61,26258.95,4726.37,21532.58,59830.08,-4748.52,39.09,-0.71,INR
ORD-103866,13-01-2023,FY2023,Q1,January,North,Consumer Goods,Backpack,Small Business,Vikas,16,83242.37,51549.03,31693.34,12552.7,19140.64,86599.76,-3357.39,22.99,-5.89,INR
ORD-103687,13-01-2023,FY2023,Q1,January,East,Technology,Printer,Consumer,Rohit,20,101296.29,77105.84,24190.45,21958.69,2231.77,96079.96,5216.33,2.2,0.48,INR
ORD-104996,13-01-2023,FY2023,Q1,January,South,Healthcare,Gloves,Consumer,Rohit,5,230053.92,147885.54,82168.38,28797.86,53370.52,221218.92,8835,23.2,-3.64,INR
ORD-100756,13-01-2023,FY2023,Q1,January,South,Office Supplies,Pen Set,Corporate,Neha,1,18264.2,10248.61,8015.59,2136.89,5878.71,17606.77,657.43,32.19,21.26,INR
ORD-104081,13-01-2023,FY2023,Q1,January,Central,Furniture,Cabinet,Corporate,Rohit,16,528837.09,370176.58,158660.51,94882.87,63777.64,585950.87,-57113.77,12.06,-0.65,INR
ORD-101467,14-01-2023,FY2023,Q1,January,North,Furniture,Office Chair,Consumer,Sneha,10,174306.75,115248.33,59058.42,22639.11,36419.31,191038.13,-16731.38,20.89,-0.16,INR
ORD-104943,14-01-2023,FY2023,Q1,January,East,Consumer Goods,Calculator,Small Business,Neha,6,159223.6,107328.79,51894.82,17848.51,34046.3,162744.94,-3521.34,21.38,17.18,INR
ORD-101399,14-01-2023,FY2023,Q1,January,South,Consumer Goods,Water Bottle,Consumer,Neha,9,150057.63,85616.92,64440.71,16860.98,47579.73,165911.46,-15853.83,31.71,-7.98,INR
ORD-100039,14-01-2023,FY2023,Q1,January,East,Furniture,Conference Table,Corporate,Neha,15,562388.49,394674.76,167713.73,115005.89,52707.84,609825.59,-47437.1,9.37,-1.05,INR
ORD-102918,15-01-2023,FY2023,Q1,January,Central,Consumer Goods,Backpack,Consumer,Anjali,8,91155.61,68206.4,22949.22,18248.28,4700.94,89246.87,1908.74,5.16,14.56,INR
ORD-104797,15-01-2023,FY2023,Q1,January,Central,Technology,Printer,Consumer,Vikas,6,38325.57,25480.36,12845.21,5000.86,7844.35,39469.23,-1143.66,20.47,-0.63,INR
ORD-100075,15-01-2023,FY2023,Q1,January,West,Technology,Tablet,Corporate,Rahul,10,369126.01,273195.43,95930.58,58805.83,37124.75,398832.26,-29706.25,10.06,1.55,INR
ORD-100820,15-01-2023,FY2023,Q1,January,West,Consumer Goods,Backpack,Small Business,Rohit,16,126406.63,92907,33499.63,14011.14,19488.49,126601.52,-194.89,15.42,19.97,INR
ORD-104638,15-01-2023,FY2023,Q1,January,South,Office Supplies,Stapler,Consumer,Priya,5,65154.4,50561.23,14593.17,6542.86,8050.31,69991.52,-4837.12,12.36,0.43,INR
ORD-104304,16-01-2023,FY2023,Q1,January,South,Office Supplies,Stapler,Corporate,Vikas,4,133176.81,88922.68,44254.13,12464.14,31789.99,132438.74,738.07,23.87,23.37,INR
ORD-101112,16-01-2023,FY2023,Q1,January,South,Technology,Tablet,Small Business,Rohit,20,922573.19,539915.92,382657.28,175017.21,207640.06,984751.25,-62178.06,22.51,15.09,INR
ORD-103199,17-01-2023,FY2023,Q1,January,North,Furniture,Cabinet,Consumer,Sneha,10,282714.17,168423.34,114290.83,34966.51,79324.32,268168.14,14546.03,28.06,2.98,INR
ORD-101240,17-01-2023,FY2023,Q1,January,Central,Technology,Laptop,Small Business,Neha,20,539505.23,325480.88,214024.35,69438.22,144586.13,489656.82,49848.41,26.8,10.36,INR
ORD-104228,17-01-2023,FY2023,Q1,January,East,Office Supplies,Notebook,Small Business,Rahul,19,405917.43,312604.97,93312.46,57237.43,36075.03,405138.31,779.12,8.89,13.97,INR
ORD-103445,17-01-2023,FY2023,Q1,January,West,Furniture,Office Chair,Consumer,Rahul,11,200522.59,155846.47,44676.12,28724.43,15951.69,209331.38,-8808.79,7.96,1.03,INR
ORD-100242,17-01-2023,FY2023,Q1,January,West,Furniture,Bookshelf,Consumer,Amit,13,577592.66,305818.53,271774.13,120888.31,150885.82,589057.29,-11464.63,26.12,20.03,INR
ORD-101888,17-01-2023,FY2023,Q1,January,South,Technology,Tablet,Consumer,Vikas,2,12591.63,7208.32,5383.31,1796.62,3586.69,13843.24,-1251.61,28.48,24.53,INR
ORD-102839,17-01-2023,FY2023,Q1,January,North,Technology,Smartphone,Small Business,Vikas,13,278813.02,145475.44,133337.58,52280.24,81057.33,293460.93,-14647.91,29.07,14.72,INR
ORD-100916,18-01-2023,FY2023,Q1,January,East,Healthcare,Medical Kit,Small Business,Sneha,18,740233.02,491367.93,248865.08,102623.03,146242.06,782450.88,-42217.87,19.76,24.46,INR
ORD-100261,18-01-2023,FY2023,Q1,January,South,Healthcare,Thermometer,Small Business,Amit,6,102185.04,64170.33,38014.7,20781.72,17232.98,93898.51,8286.53,16.86,5.4,INR
ORD-102481,19-01-2023,FY2023,Q1,January,South,Furniture,Conference Table,Corporate,Priya,7,29429.51,18459.34,10970.17,5513.14,5457.03,31976.63,-2547.12,18.54,11.17,INR
ORD-103425,19-01-2023,FY2023,Q1,January,Central,Furniture,Conference Table,Consumer,Amit,1,15778.3,9027.34,6750.96,3221.94,3529.02,17018.45,-1240.16,22.37,6.12,INR
ORD-103637,19-01-2023,FY2023,Q1,January,South,Furniture,Conference Table,Small Business,Neha,6,115022.52,63175.63,51846.88,21335.9,30510.99,118072.6,-3050.08,26.53,-3.06,INR
ORD-102082,19-01-2023,FY2023,Q1,January,East,Office Supplies,Notebook,Corporate,Vikas,15,444303.75,267005.11,177298.64,93633.27,83665.37,480079.52,-35775.77,18.83,13.23,INR
ORD-104086,19-01-2023,FY2023,Q1,January,South,Office Supplies,File Folder,Consumer,Priya,15,66786.37,35786.05,31000.32,6044.32,24956,61609.84,5176.54,37.37,6,INR
ORD-103179,19-01-2023,FY2023,Q1,January,East,Technology,Printer,Consumer,Amit,5,117555.42,86215.08,31340.34,17667.28,13673.06,127142.06,-9586.64,11.63,14.48,INR
ORD-102009,19-01-2023,FY2023,Q1,January,North,Furniture,Office Chair,Consumer,Amit,1,43872.05,25270.17,18601.88,9050.58,9551.3,44735.14,-863.09,21.77,11.96,INR
ORD-104574,19-01-2023,FY2023,Q1,January,East,Technology,Laptop,Consumer,Anjali,19,211808.02,151411.94,60396.08,39494.32,20901.76,211172.19,635.83,9.87,-7.68,INR
ORD-102682,19-01-2023,FY2023,Q1,January,South,Technology,Monitor,Consumer,Amit,8,146369.01,78632.37,67736.64,18129.4,49607.24,151145.1,-4776.1,33.89,-1.18,INR
ORD-101560,19-01-2023,FY2023,Q1,January,Central,Furniture,Bookshelf,Corporate,Sneha,1,18494.69,10486.32,8008.37,2543.3,5465.07,19590.66,-1095.97,29.55,-1.41,INR
ORD-100282,20-01-2023,FY2023,Q1,January,East,Office Supplies,File Folder,Corporate,Amit,4,92162.81,65866.18,26296.62,18946.29,7350.33,101490.23,-9327.42,7.98,7.37,INR
ORD-103216,20-01-2023,FY2023,Q1,January,North,Furniture,Conference Table,Corporate,Neha,8,107167.19,64225.55,42941.63,21952.9,20988.73,102950.36,4216.83,19.59,-2.66,INR
ORD-102162,21-01-2023,FY2023,Q1,January,North,Technology,Tablet,Corporate,Amit,2,74049.96,43174.56,30875.4,15588.76,15286.63,82720.13,-8670.17,20.64,20.03,INR
ORD-104884,21-01-2023,FY2023,Q1,January,North,Furniture,Bookshelf,Consumer,Rohit,3,127531.77,73659.49,53872.28,16009.37,37862.91,117191.96,10339.81,29.69,13.97,INR
ORD-103344,21-01-2023,FY2023,Q1,January,East,Office Supplies,Notebook,Consumer,Vikas,6,14694.83,8100.33,6594.5,1322.53,5271.97,15982.34,-1287.51,35.88,-3.77,INR
ORD-104782,21-01-2023,FY2023,Q1,January,West,Furniture,Office Chair,Small Business,Neha,6,275543.03,145721.11,129821.92,55962.66,73859.26,249483.51,26059.52,26.8,22.1,INR
ORD-101602,21-01-2023,FY2023,Q1,January,North,Technology,Monitor,Consumer,Sneha,9,6088.85,3828.3,2260.55,1291.09,969.46,6132.04,-43.19,15.92,19.19,INR
ORD-101302,21-01-2023,FY2023,Q1,January,North,Office Supplies,Stapler,Small Business,Rahul,12,170200.38,123112.34,47088.04,27394.06,19693.98,159691.1,10509.27,11.57,21.89,INR
ORD-101882,21-01-2023,FY2023,Q1,January,East,Healthcare,BP Monitor,Consumer,Sneha,4,178932.76,124430.73,54502.03,37270.41,17231.63,186670.88,-7738.11,9.63,-2.59,INR
ORD-101449,21-01-2023,FY2023,Q1,January,South,Technology,Smartphone,Small Business,Sneha,18,25059.61,19397.3,5662.31,2793.15,2869.16,26322.6,-1262.99,11.45,23.9,INR
ORD-100033,21-01-2023,FY2023,Q1,January,East,Furniture,Office Chair,Corporate,Neha,16,35997.85,27481.15,8516.7,4934.01,3582.7,39358.95,-3361.1,9.95,5.79,INR
ORD-104044,22-01-2023,FY2023,Q1,January,North,Furniture,Desk,Small Business,Vikas,4,157052.38,82184.94,74867.44,16533.69,58333.75,170884.5,-13832.11,37.14,22.95,INR
ORD-102673,22-01-2023,FY2023,Q1,January,East,Furniture,Cabinet,Consumer,Neha,3,65735.34,35758.14,29977.2,9055.08,20922.13,68239.4,-2504.05,31.83,-7.77,INR
ORD-101393,22-01-2023,FY2023,Q1,January,East,Consumer Goods,Headphones,Corporate,Vikas,14,155849.5,94878.45,60971.05,24783.96,36187.09,150545.93,5303.56,23.22,-5.09,INR
ORD-102192,22-01-2023,FY2023,Q1,January,Central,Healthcare,BP Monitor,Consumer,Rohit,15,657829.68,511885.28,145944.39,119712.64,26231.75,696408.86,-38579.19,3.99,5.45,INR
ORD-101268,22-01-2023,FY2023,Q1,January,South,Office Supplies,File Folder,Corporate,Anjali,9,231684.73,168767.35,62917.39,45424.66,17492.72,230185.01,1499.73,7.55,-7.65,INR
ORD-103211,22-01-2023,FY2023,Q1,January,West,Furniture,Conference Table,Small Business,Neha,20,375181.69,242450.95,132730.74,79549.33,53181.41,411958.95,-36777.26,14.17,23.26,INR
ORD-104596,22-01-2023,FY2023,Q1,January,North,Healthcare,First Aid Box,Consumer,Anjali,19,512702.57,338480.08,174222.49,67428.67,106793.82,462939.55,49763.02,20.83,24.09,INR
ORD-100017,22-01-2023,FY2023,Q1,January,East,Technology,Printer,Small Business,Amit,4,130706.67,91814.77,38891.9,25063.87,13828.02,119714.48,10992.19,10.58,-4.44,INR
ORD-100358,23-01-2023,FY2023,Q1,January,West,Healthcare,Gloves,Small Business,Anjali,15,724439.42,416893.89,307545.54,112334.04,195211.49,803572.74,-79133.32,26.95,9.5,INR
ORD-102539,23-01-2023,FY2023,Q1,January,West,Consumer Goods,Headphones,Corporate,Vikas,5,18613.41,9817.28,8796.13,3089.87,5706.26,17474.95,1138.46,30.66,10.31,INR
ORD-100834,23-01-2023,FY2023,Q1,January,West,Office Supplies,File Folder,Corporate,Vikas,6,39919.58,24825.72,15093.86,4432.16,10661.7,38367.65,1551.93,26.71,-2.45,INR
ORD-102010,23-01-2023,FY2023,Q1,January,West,Furniture,Office Chair,Consumer,Neha,14,434391.08,255529.75,178861.33,66858.08,112003.25,420608.56,13782.52,25.78,21.97,INR
ORD-102785,23-01-2023,FY2023,Q1,January,East,Healthcare,First Aid Box,Corporate,Neha,10,34315.58,24921.6,9393.99,4952.31,4441.67,36123.2,-1807.62,12.94,14.88,INR
ORD-101429,24-01-2023,FY2023,Q1,January,Central,Furniture,Cabinet,Consumer,Amit,7,210291.04,159421.86,50869.18,18294.49,32574.69,223086.95,-12795.92,15.49,8.23,INR
ORD-100886,25-01-2023,FY2023,Q1,January,East,Office Supplies,Pen Set,Small Business,Amit,19,790848.15,605244.74,185603.41,152255.33,33348.08,799784.98,-8936.83,4.22,6.5,INR
ORD-102690,25-01-2023,FY2023,Q1,January,Central,Office Supplies,File Folder,Consumer,Neha,6,180622.34,140496.77,40125.58,30704.01,9421.57,196385.04,-15762.7,5.22,-5.7,INR
ORD-100689,25-01-2023,FY2023,Q1,January,Central,Consumer Goods,Headphones,Consumer,Sneha,6,215957.11,122900.21,93056.9,34972.46,58084.43,208279.75,7677.35,26.9,2.72,INR
ORD-103458,25-01-2023,FY2023,Q1,January,East,Furniture,Office Chair,Consumer,Vikas,10,463918.19,244773.21,219144.98,64826.75,154318.23,494362.23,-30444.04,33.26,-4.84,INR
ORD-103246,25-01-2023,FY2023,Q1,January,North,Technology,Monitor,Corporate,Sneha,14,282308.56,200900.44,81408.12,32194.44,49213.68,256154.16,26154.4,17.43,9.45,INR
ORD-101052,25-01-2023,FY2023,Q1,January,Central,Furniture,Office Chair,Corporate,Sneha,3,94061.24,51752.12,42309.13,13892.63,28416.49,95688.63,-1627.38,30.21,-5.33,INR
ORD-104071,26-01-2023,FY2023,Q1,January,South,Consumer Goods,Water Bottle,Corporate,Rohit,19,921001.81,633110.27,287891.54,189022.08,98869.46,910158.02,10843.8,10.73,10.97,INR
ORD-102894,26-01-2023,FY2023,Q1,January,East,Technology,Tablet,Consumer,Priya,13,262929.98,181649.38,81280.6,30503.31,50777.29,272048.53,-9118.55,19.31,12.79,INR
ORD-102423,26-01-2023,FY2023,Q1,January,Central,Healthcare,First Aid Box,Corporate,Rohit,2,18970.74,14018.48,4952.26,2639.21,2313.05,20281.74,-1311,12.19,3.21,INR
ORD-103602,27-01-2023,FY2023,Q1,January,West,Consumer Goods,Travel Bag,Small Business,Neha,3,76076.24,54662.82,21413.42,14807.7,6605.73,69433.82,6642.43,8.68,18.76,INR
ORD-100230,27-01-2023,FY2023,Q1,January,West,Consumer Goods,Calculator,Corporate,Sneha,1,39200.47,29722.5,9477.97,6187.99,3289.98,43681.14,-4480.67,8.39,8.13,INR
ORD-101007,27-01-2023,FY2023,Q1,January,West,Furniture,Desk,Consumer,Sneha,17,417314.4,223437.8,193876.61,65269.13,128607.48,466944.38,-49629.98,30.82,20.08,INR
ORD-104253,27-01-2023,FY2023,Q1,January,West,Furniture,Cabinet,Consumer,Vikas,10,44527.74,23970.12,20557.62,5604.89,14952.73,42720.6,1807.14,33.58,-3.46,INR
ORD-104749,28-01-2023,FY2023,Q1,January,North,Technology,Smartphone,Consumer,Neha,4,133906.93,73388.29,60518.63,14840.94,45677.7,141056.63,-7149.7,34.11,18.47,INR
ORD-102181,28-01-2023,FY2023,Q1,January,South,Technology,Printer,Small Business,Anjali,15,324243.78,238955.53,85288.25,52238.1,33050.15,312944.26,11299.52,10.19,7.11,INR
ORD-100665,28-01-2023,FY2023,Q1,January,North,Furniture,Desk,Small Business,Sneha,9,268688.16,180864.98,87823.19,23426.84,64396.34,299817.94,-31129.77,23.97,3.84,INR
ORD-101473,28-01-2023,FY2023,Q1,January,East,Furniture,Office Chair,Small Business,Vikas,4,27169.56,20794.41,6375.15,4852.76,1522.39,27189.84,-20.29,5.6,21.12,INR
ORD-100681,28-01-2023,FY2023,Q1,January,West,Technology,Monitor,Small Business,Rahul,1,24239.63,13914.44,10325.19,3721.98,6603.21,23697.18,542.46,27.24,14.88,INR
ORD-100456,29-01-2023,FY2023,Q1,January,West,Consumer Goods,Backpack,Consumer,Rahul,15,500374.68,319257.27,181117.42,49314.12,131803.29,490839.01,9535.68,26.34,23.59,INR
ORD-104436,29-01-2023,FY2023,Q1,January,East,Healthcare,Thermometer,Consumer,Amit,7,38570.56,26657.53,11913.03,3437.97,8475.06,41519.73,-2949.17,21.97,-3.92,INR
ORD-101025,29-01-2023,FY2023,Q1,January,East,Furniture,Desk,Small Business,Priya,16,62876.26,43354.84,19521.41,7839.51,11681.9,66442.03,-3565.77,18.58,-7.49,INR
